test_group_ts,round_ts,scope,run_id,ai,attempt,trigger_to_confirmed_ms,send_done_to_match_ms,reply_wait_sec,elapsed_sec,ok,error
20260303_155649,2026-03-03T16:13:40.317534+00:00,serialtabs_smoke,smoke-20260303_161340-bb48ca32,grok,1,387.000,,,143.545,False,[grok] send failed; diag=debug_screenshots/20260304_001603_grok_send.txt; diag=debug_screenshots/20260304_001604_grok_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:13:40.317534+00:00,serialtabs_smoke,smoke-20260303_161340-bb48ca32,chatgpt,1,,,,2.241,False,[chatgpt] send failed; diag=debug_screenshots/20260304_001606_chatgpt_send.txt; diag=debug_screenshots/20260304_001606_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:13:40.317534+00:00,serialtabs_smoke,smoke-20260303_161340-bb48ca32,gemini,1,579.000,3113.000,3.113,4.547,True,
20260303_155649,2026-03-03T16:16:12.118125+00:00,serialtabs_smoke,smoke-20260303_161612-9d97e047,grok,1,,,,64.464,False,[grok] send failed; diag=debug_screenshots/20260304_001716_grok_send.txt; diag=debug_screenshots/20260304_001716_grok_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:16:12.118125+00:00,serialtabs_smoke,smoke-20260303_161612-9d97e047,chatgpt,1,,,,2.333,False,[chatgpt] send failed; diag=debug_screenshots/20260304_001719_chatgpt_send.txt; diag=debug_screenshots/20260304_001719_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:16:12.118125+00:00,serialtabs_smoke,smoke-20260303_161612-9d97e047,gemini,1,547.000,3307.000,3.306,4.839,True,
20260303_155649,2026-03-03T16:17:25.367613+00:00,serialtabs_smoke,smoke-20260303_161725-0bd492d5,grok,1,578.000,5373.000,5.373,89.922,True,
20260303_155649,2026-03-03T16:17:25.367613+00:00,serialtabs_smoke,smoke-20260303_161725-0bd492d5,chatgpt,1,,,,2.168,False,[chatgpt] send failed; diag=debug_screenshots/20260304_001857_chatgpt_send.txt; diag=debug_screenshots/20260304_001857_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:17:25.367613+00:00,serialtabs_smoke,smoke-20260303_161725-0bd492d5,gemini,1,616.000,3290.000,3.290,4.882,True,
20260303_155649,2026-03-03T16:19:03.927211+00:00,serialtabs_smoke,smoke-20260303_161903-1ef4f65d,grok,1,364.000,,,128.207,False,[grok] send failed; diag=debug_screenshots/20260304_002112_grok_send.txt; diag=debug_screenshots/20260304_002112_grok_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:19:03.927211+00:00,serialtabs_smoke,smoke-20260303_161903-1ef4f65d,chatgpt,1,,,,2.146,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002114_chatgpt_send.txt; diag=debug_screenshots/20260304_002114_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:19:03.927211+00:00,serialtabs_smoke,smoke-20260303_161903-1ef4f65d,gemini,1,560.000,5847.000,5.848,7.337,True,
20260303_155649,2026-03-03T16:21:23.129300+00:00,serialtabs_smoke,smoke-20260303_162123-e58f8a84,grok,1,547.000,6320.000,6.320,92.143,True,
20260303_155649,2026-03-03T16:21:23.129300+00:00,serialtabs_smoke,smoke-20260303_162123-e58f8a84,chatgpt,1,,,,2.416,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002257_chatgpt_send.txt; diag=debug_screenshots/20260304_002257_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:21:23.129300+00:00,serialtabs_smoke,smoke-20260303_162123-e58f8a84,gemini,1,589.000,3408.000,3.408,4.988,True,
20260303_155649,2026-03-03T16:23:04.198964+00:00,serialtabs_smoke,smoke-20260303_162304-2bf992f7,grok,1,334.000,7131.000,7.132,90.080,True,
20260303_155649,2026-03-03T16:23:04.198964+00:00,serialtabs_smoke,smoke-20260303_162304-2bf992f7,chatgpt,1,,,,2.411,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002436_chatgpt_send.txt; diag=debug_screenshots/20260304_002436_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:23:04.198964+00:00,serialtabs_smoke,smoke-20260303_162304-2bf992f7,gemini,1,673.000,3525.000,3.525,5.165,True,
20260303_155649,2026-03-03T16:24:43.342005+00:00,serialtabs_smoke,smoke-20260303_162443-2b2199c8,grok,1,,,,61.996,False,[grok] send failed; diag=debug_screenshots/20260304_002545_grok_send.txt; diag=debug_screenshots/20260304_002545_grok_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:24:43.342005+00:00,serialtabs_smoke,smoke-20260303_162443-2b2199c8,chatgpt,1,,,,2.553,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002547_chatgpt_send.txt; diag=debug_screenshots/20260304_002548_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:24:43.342005+00:00,serialtabs_smoke,smoke-20260303_162443-2b2199c8,gemini,1,576.000,3426.000,3.426,5.000,True,
20260303_155649,2026-03-03T16:25:54.396089+00:00,serialtabs_smoke,smoke-20260303_162554-7c69ec89,grok,1,719.000,7868.000,7.868,92.634,True,
20260303_155649,2026-03-03T16:25:54.396089+00:00,serialtabs_smoke,smoke-20260303_162554-7c69ec89,chatgpt,1,,,,2.389,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002729_chatgpt_send.txt; diag=debug_screenshots/20260304_002729_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:25:54.396089+00:00,serialtabs_smoke,smoke-20260303_162554-7c69ec89,gemini,1,576.000,19313.000,19.313,20.832,True,
20260303_155649,2026-03-03T16:27:51.730228+00:00,serialtabs_smoke,smoke-20260303_162751-16c0d673,grok,1,622.000,6265.000,6.264,89.963,True,
20260303_155649,2026-03-03T16:27:51.730228+00:00,serialtabs_smoke,smoke-20260303_162751-16c0d673,chatgpt,1,,,,2.374,False,[chatgpt] send failed; diag=debug_screenshots/20260304_002924_chatgpt_send.txt; diag=debug_screenshots/20260304_002924_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:27:51.730228+00:00,serialtabs_smoke,smoke-20260303_162751-16c0d673,gemini,1,625.000,4030.000,4.030,5.564,True,
20260303_155649,2026-03-03T16:29:31.131432+00:00,serialtabs_smoke,smoke-20260303_162931-01d98195,grok,1,716.000,9184.000,9.184,92.482,True,
20260303_155649,2026-03-03T16:29:31.131432+00:00,serialtabs_smoke,smoke-20260303_162931-01d98195,chatgpt,1,,,,2.284,False,[chatgpt] send failed; diag=debug_screenshots/20260304_003105_chatgpt_send.txt; diag=debug_screenshots/20260304_003106_chatgpt_serialtabs_smoke.txt
20260303_155649,2026-03-03T16:29:31.131432+00:00,serialtabs_smoke,smoke-20260303_162931-01d98195,gemini,1,638.000,4017.000,4.017,5.440,True,
